function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_arc4random	c:@F@p101_arc4random	common-Unix	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random	c:@F@arc4random
p101_arc4random_buf	c:@F@p101_arc4random_buf	common-Unix	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random_buf	c:@F@arc4random_buf
p101_arc4random_uniform	c:@F@p101_arc4random_uniform	common-Unix	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random_uniform	c:@F@arc4random_uniform
p101_initstate	c:@F@p101_initstate	XSI	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	initstate	c:@F@initstate
p101_seed48	c:@F@p101_seed48	XSI	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	seed48	c:@F@seed48
p101_setstate	c:@F@p101_setstate	XSI	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	setstate	c:@F@setstate
p101_srand48	c:@F@p101_srand48	XSI	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	srand48	c:@F@srand48
p101_srandom	c:@F@p101_srandom	XSI	libraries/lib_random/src/stdlib.c	libraries/lib_random/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	srandom	c:@F@srandom
